Frequence = 10 Ghz;
N = 5784;
1.
1   X = 20 mm; Y = 21 mm; Amplitude = 0.000190142; Faza = -118.582 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
189   X = 20 mm; Y = 145 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
190   X = 20 mm; Y = 147 mm; Amplitude = 0.000182676; Faza = -55.1216 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
191   X = 20 mm; Y = 147 mm; Amplitude = 9.09159e-005; Faza = 54.7122 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
192   X = 20 mm; Y = 147 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
193   X = 20 mm; Y = 149 mm; Amplitude = 0.000166541; Faza = -27.2434 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
194   X = 20 mm; Y = 149 mm; Amplitude = 7.44085e-005; Faza = 69.4053 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
195   X = 20 mm; Y = 149 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
196   X = 20 mm; Y = 151 mm; Amplitude = 0; Faza = 4.12809 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
197   X = 20 mm; Y = 151 mm; Amplitude = 0; Faza = 88.3047 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
198   X = 20 mm; Y = 151 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
199   X = 20 mm; Y = 153 mm; Amplitude = 0; Faza = 35.3643 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
200   X = 20 mm; Y = 153 mm; Amplitude = 0; Faza = -235.272 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
201   X = 20 mm; Y = 153 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
202   X = 20 mm; Y = 155 mm; Amplitude = 0.000199665; Faza = 62.7995 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
203   X = 20 mm; Y = 155 mm; Amplitude = 2.71591e-005; Faza = -154.31 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
204   X = 20 mm; Y = 155 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
205   X = 20 mm; Y = 157 mm; Amplitude = 0.000231328; Faza = 85.8014 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
206   X = 20 mm; Y = 157 mm; Amplitude = 5.37566e-005; Faza = -111.908 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
207   X = 20 mm; Y = 157 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
208   X = 20 mm; Y = 159 mm; Amplitude = 0.000261802; Faza = 105.467 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
209   X = 20 mm; Y = 159 mm; Amplitude = 8.50018e-005; Faza = -92.2368 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
210   X = 20 mm; Y = 159 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
211   X = 20 mm; Y = 161 mm; Amplitude = 0.000285721; Faza = 123 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
212   X = 20 mm; Y = 161 mm; Amplitude = 0.000114348; Faza = -78.0536 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
213   X = 20 mm; Y = 161 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
214   X = 20 mm; Y = 163 mm; Amplitude = 0.000299474; Faza = 139.308 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
215   X = 20 mm; Y = 163 mm; Amplitude = 0.000138992; Faza = -65.7734 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
216   X = 20 mm; Y = 163 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
217   X = 20 mm; Y = 165 mm; Amplitude = 0.000300987; Faza = 155.077 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
218   X = 20 mm; Y = 165 mm; Amplitude = 0.000157018; Faza = -54.2592 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
219   X = 20 mm; Y = 165 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
220   X = 20 mm; Y = 167 mm; Amplitude = 0.000289688; Faza = 170.915 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
221   X = 20 mm; Y = 167 mm; Amplitude = 0.000167153; Faza = -42.9911 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
222   X = 20 mm; Y = 167 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
223   X = 20 mm; Y = 169 mm; Amplitude = 0.000266561; Faza = -172.509 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
224   X = 20 mm; Y = 169 mm; Amplitude = 0.000168782; Faza = -31.6295 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
225   X = 20 mm; Y = 169 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
226   X = 20 mm; Y = 171 mm; Amplitude = 0.00023429; Faza = -154.278 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
227   X = 20 mm; Y = 171 mm; Amplitude = 0.000161998; Faza = -19.8534 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
228   X = 20 mm; Y = 171 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
229   X = 20 mm; Y = 173 mm; Amplitude = 0.000197569; Faza = -133.007 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
230   X = 20 mm; Y = 173 mm; Amplitude = 0.00014762; Faza = -7.24472 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
231   X = 20 mm; Y = 173 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
232   X = 20 mm; Y = 175 mm; Amplitude = 0.000163658; Faza = -106.785 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
233   X = 20 mm; Y = 175 mm; Amplitude = 0.00012722; Faza = 6.87175 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
234   X = 20 mm; Y = 175 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
235   X = 20 mm; Y = 177 mm; Amplitude = 0.000142177; Faza = -74.5497 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
236   X = 20 mm; Y = 177 mm; Amplitude = 0.000103215; Faza = 23.7486 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
237   X = 20 mm; Y = 177 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
238   X = 20 mm; Y = 179 mm; Amplitude = 0; Faza = -39.7683 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
239   X = 20 mm; Y = 179 mm; Amplitude = 0; Faza = 45.832 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
240   X = 20 mm; Y = 179 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
241   X = 20 mm; Y = 181 mm; Amplitude = 0; Faza = -8.69392 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
242   X = 20 mm; Y = 181 mm; Amplitude = 0; Faza = 76.9347 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
243   X = 20 mm; Y = 181 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
244   X = 20 mm; Y = 183 mm; Amplitude = 0.000172183; Faza = 16.9406 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
245   X = 20 mm; Y = 183 mm; Amplitude = 5.49777e-005; Faza = -243.744 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
246   X = 20 mm; Y = 183 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
247   X = 20 mm; Y = 185 mm; Amplitude = 0.000186841; Faza = 38.9215 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
248   X = 20 mm; Y = 185 mm; Amplitude = 6.16546e-005; Faza = -208.543 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
249   X = 20 mm; Y = 185 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
250   X = 20 mm; Y = 187 mm; Amplitude = 0.000193278; Faza = 59.296 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
251   X = 20 mm; Y = 187 mm; Amplitude = 7.2424e-005; Faza = -183.022 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
252   X = 20 mm; Y = 187 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
253   X = 20 mm; Y = 189 mm; Amplitude = 0.000190448; Faza = 79.7045 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
254   X = 20 mm; Y = 189 mm; Amplitude = 8.05388e-005; Faza = -163.709 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
255   X = 20 mm; Y = 189 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
256   X = 20 mm; Y = 191 mm; Amplitude = 0.000180057; Faza = 101.613 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
257   X = 20 mm; Y = 191 mm; Amplitude = 8.28288e-005; Faza = -147.364 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
258   X = 20 mm; Y = 191 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
259   X = 20 mm; Y = 193 mm; Amplitude = 0.000166481; Faza = 126.446 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
260   X = 20 mm; Y = 193 mm; Amplitude = 7.81654e-005; Faza = -132.004 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
261   X = 20 mm; Y = 193 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
262   X = 20 mm; Y = 195 mm; Amplitude = 0; Faza = 155.037 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
263   X = 20 mm; Y = 195 mm; Amplitude = 0; Faza = -115.9 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
264   X = 20 mm; Y = 195 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
265   X = 20 mm; Y = 197 mm; Amplitude = 0; Faza = -173.905 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
266   X = 20 mm; Y = 197 mm; Amplitude = 0; Faza = -95.9955 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
267   X = 20 mm; Y = 197 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
268   X = 20 mm; Y = 199 mm; Amplitude = 0; Faza = -143.948 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
269   X = 20 mm; Y = 199 mm; Amplitude = 0; Faza = -62.5251 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
270   X = 20 mm; Y = 199 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
271   X = 20 mm; Y = 201 mm; Amplitude = 0.000197239; Faza = -117.691 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
272   X = 20 mm; Y = 201 mm; Amplitude = 2.62377e-005; Faza = 3.20221 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
273   X = 20 mm; Y = 201 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
274   X = 20 mm; Y = 203 mm; Amplitude = 0.000225199; Faza = -95.1754 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
275   X = 20 mm; Y = 203 mm; Amplitude = 4.3854e-005; Faza = 51.6429 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
276   X = 20 mm; Y = 203 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
277   X = 20 mm; Y = 205 mm; Amplitude = 0.000250377; Faza = -75.3237 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
278   X = 20 mm; Y = 205 mm; Amplitude = 6.77973e-005; Faza = 75.3141 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
279   X = 20 mm; Y = 205 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
280   X = 20 mm; Y = 207 mm; Amplitude = 0.000268455; Faza = -57.0548 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
281   X = 20 mm; Y = 207 mm; Amplitude = 9.01653e-005; Faza = -268.574 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
282   X = 20 mm; Y = 207 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
283   X = 20 mm; Y = 209 mm; Amplitude = 0.000276726; Faza = -39.4949 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
284   X = 20 mm; Y = 209 mm; Amplitude = 0.000107819; Faza = -255.148 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
285   X = 20 mm; Y = 209 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
286   X = 20 mm; Y = 211 mm; Amplitude = 0.000274038; Faza = -21.8819 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
287   X = 20 mm; Y = 211 mm; Amplitude = 0.000118845; Faza = -242.808 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
288   X = 20 mm; Y = 211 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
289   X = 20 mm; Y = 213 mm; Amplitude = 0.000260896; Faza = -3.41475 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
290   X = 20 mm; Y = 213 mm; Amplitude = 0.000122063; Faza = -230.803 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
291   X = 20 mm; Y = 213 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
292   X = 20 mm; Y = 215 mm; Amplitude = 0.000239795; Faza = 16.898 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
293   X = 20 mm; Y = 215 mm; Amplitude = 0.00011699; Faza = -218.586 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
294   X = 20 mm; Y = 215 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
295   X = 20 mm; Y = 217 mm; Amplitude = 0.000215786; Faza = 40.2899 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
296   X = 20 mm; Y = 217 mm; Amplitude = 0.000103882; Faza = -205.486 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
297   X = 20 mm; Y = 217 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
298   X = 20 mm; Y = 219 mm; Amplitude = 0.000196868; Faza = 67.749 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
299   X = 20 mm; Y = 219 mm; Amplitude = 8.38488e-005; Faza = -190.189 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
300   X = 20 mm; Y = 219 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
301   X = 20 mm; Y = 221 mm; Amplitude = 0.000192188; Faza = 98.3777 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
302   X = 20 mm; Y = 221 mm; Amplitude = 5.93648e-005; Faza = -169.052 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
303   X = 20 mm; Y = 221 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
304   X = 20 mm; Y = 223 mm; Amplitude = 0.000205987; Faza = 128.5 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
305   X = 20 mm; Y = 223 mm; Amplitude = 3.73502e-005; Faza = -129.501 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
306   X = 20 mm; Y = 223 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
307   X = 20 mm; Y = 225 mm; Amplitude = 0.000233599; Faza = 154.89 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
308   X = 20 mm; Y = 225 mm; Amplitude = 3.81684e-005; Faza = -64.2279 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
309   X = 20 mm; Y = 225 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
310   X = 20 mm; Y = 227 mm; Amplitude = 0.000266051; Faza = 177.215 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
311   X = 20 mm; Y = 227 mm; Amplitude = 6.30653e-005; Faza = -24.8032 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
312   X = 20 mm; Y = 227 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
313   X = 20 mm; Y = 229 mm; Amplitude = 0.00029545; Faza = -163.388 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
314   X = 20 mm; Y = 229 mm; Amplitude = 9.26421e-005; Faza = -3.60892 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
315   X = 20 mm; Y = 229 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
316   X = 20 mm; Y = 231 mm; Amplitude = 0.000316446; Faza = -145.731 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
317   X = 20 mm; Y = 231 mm; Amplitude = 0.000119727; Faza = 11.8539 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
318   X = 20 mm; Y = 231 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
319   X = 20 mm; Y = 233 mm; Amplitude = 0.000326023; Faza = -128.888 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
320   X = 20 mm; Y = 233 mm; Amplitude = 0.000141288; Faza = 25.2159 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
321   X = 20 mm; Y = 233 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
322   X = 20 mm; Y = 235 mm; Amplitude = 0.000323197; Faza = -112.123 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
323   X = 20 mm; Y = 235 mm; Amplitude = 0.000155538; Faza = 37.7995 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
324   X = 20 mm; Y = 235 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
325   X = 20 mm; Y = 237 mm; Amplitude = 0.000308833; Faza = -94.7634 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
326   X = 20 mm; Y = 237 mm; Amplitude = 0.000161504; Faza = 50.2887 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
327   X = 20 mm; Y = 237 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
328   X = 20 mm; Y = 239 mm; Amplitude = 0.000285546; Faza = -76.0917 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
329   X = 20 mm; Y = 239 mm; Amplitude = 0.000159015; Faza = 63.212 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
330   X = 20 mm; Y = 239 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
331   X = 20 mm; Y = 241 mm; Amplitude = 0.000257694; Faza = -55.2924 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
332   X = 20 mm; Y = 241 mm; Amplitude = 0.000148762; Faza = 77.1698 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
333   X = 20 mm; Y = 241 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
334   X = 20 mm; Y = 243 mm; Amplitude = 0.000231254; Faza = -31.6086 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
335   X = 20 mm; Y = 243 mm; Amplitude = 0.000132432; Faza = -266.964 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
336   X = 20 mm; Y = 243 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
337   X = 20 mm; Y = 245 mm; Amplitude = 0.000212933; Faza = -4.96808 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
338   X = 20 mm; Y = 245 mm; Amplitude = 0.000112962; Faza = -247.805 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
339   X = 20 mm; Y = 245 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
340   X = 20 mm; Y = 247 mm; Amplitude = 0.00020745; Faza = 23.1548 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
341   X = 20 mm; Y = 247 mm; Amplitude = 9.49638e-005; Faza = -223.46 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
342   X = 20 mm; Y = 247 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
343   X = 20 mm; Y = 249 mm; Amplitude = 0.000214167; Faza = 50.2146 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
344   X = 20 mm; Y = 249 mm; Amplitude = 8.45843e-005; Faza = -193.234 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
345   X = 20 mm; Y = 249 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
346   X = 20 mm; Y = 251 mm; Amplitude = 0.000227318; Faza = 74.5745 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
347   X = 20 mm; Y = 251 mm; Amplitude = 8.60112e-005; Faza = -161.425 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
348   X = 20 mm; Y = 251 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
349   X = 20 mm; Y = 253 mm; Amplitude = 0.000239774; Faza = 96.2298 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
350   X = 20 mm; Y = 253 mm; Amplitude = 9.6492e-005; Faza = -134.319 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
351   X = 20 mm; Y = 253 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
352   X = 20 mm; Y = 255 mm; Amplitude = 0.000245897; Faza = 116.021 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
353   X = 20 mm; Y = 255 mm; Amplitude = 0.000109281; Faza = -113.169 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
354   X = 20 mm; Y = 255 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
355   X = 20 mm; Y = 257 mm; Amplitude = 0.000242364; Faza = 134.992 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
356   X = 20 mm; Y = 257 mm; Amplitude = 0.000118917; Faza = -96.2158 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
357   X = 20 mm; Y = 257 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
358   X = 20 mm; Y = 259 mm; Amplitude = 0.000228268; Faza = 154.286 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
359   X = 20 mm; Y = 259 mm; Amplitude = 0.000122179; Faza = -81.7663 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
360   X = 20 mm; Y = 259 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
361   X = 20 mm; Y = 261 mm; Amplitude = 0.000205344; Faza = 175.33 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
362   X = 20 mm; Y = 261 mm; Amplitude = 0.000117509; Faza = -68.6866 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
363   X = 20 mm; Y = 261 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
