Frequence = 40 Ghz;
N = 6894;
1.
1   X = 6 mm; Y = 6.3 mm; Amplitude = 0.00402676; Faza = 139.527 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
184   X = 6 mm; Y = 42.9 mm; Amplitude = 0.00334748; Faza = -156.007 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
185   X = 6 mm; Y = 42.9 mm; Amplitude = 0.00317328; Faza = 26.9626 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
186   X = 6 mm; Y = 42.9 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
187   X = 6 mm; Y = 43.5 mm; Amplitude = 0.00402123; Faza = -150.4 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
188   X = 6 mm; Y = 43.5 mm; Amplitude = 0.00373448; Faza = 33.1548 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
189   X = 6 mm; Y = 43.5 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
190   X = 6 mm; Y = 44.1 mm; Amplitude = 0.00466314; Faza = -146.013 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
191   X = 6 mm; Y = 44.1 mm; Amplitude = 0.00427816; Faza = 37.7803 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
192   X = 6 mm; Y = 44.1 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
193   X = 6 mm; Y = 44.7 mm; Amplitude = 0.00523315; Faza = -142.255 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
194   X = 6 mm; Y = 44.7 mm; Amplitude = 0.00477043; Faza = 41.5058 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
195   X = 6 mm; Y = 44.7 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
196   X = 6 mm; Y = 45.3 mm; Amplitude = 0.00569983; Faza = -138.811 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
197   X = 6 mm; Y = 45.3 mm; Amplitude = 0.00518457; Faza = 44.7346 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
198   X = 6 mm; Y = 45.3 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
199   X = 6 mm; Y = 45.9 mm; Amplitude = 0.00604016; Faza = -135.51 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
200   X = 6 mm; Y = 45.9 mm; Amplitude = 0.00549962; Faza = 47.7177 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
201   X = 6 mm; Y = 45.9 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
202   X = 6 mm; Y = 46.5 mm; Amplitude = 0.00623982; Faza = -132.253 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
203   X = 6 mm; Y = 46.5 mm; Amplitude = 0.00570016; Faza = 50.6207 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
204   X = 6 mm; Y = 46.5 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
205   X = 6 mm; Y = 47.1 mm; Amplitude = 0.00629318; Faza = -128.973 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
206   X = 6 mm; Y = 47.1 mm; Amplitude = 0.00577662; Faza = 53.5662 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
207   X = 6 mm; Y = 47.1 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
208   X = 6 mm; Y = 47.7 mm; Amplitude = 0.00620271; Faza = -125.606 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
209   X = 6 mm; Y = 47.7 mm; Amplitude = 0.00572555; Faza = 56.6609 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
210   X = 6 mm; Y = 47.7 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
211   X = 6 mm; Y = 48.3 mm; Amplitude = 0.00597814; Faza = -122.07 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
212   X = 6 mm; Y = 48.3 mm; Amplitude = 0.00554988; Faza = 60.0193 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
213   X = 6 mm; Y = 48.3 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
214   X = 6 mm; Y = 48.9 mm; Amplitude = 0.00563531; Faza = -118.238 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
215   X = 6 mm; Y = 48.9 mm; Amplitude = 0.00525902; Faza = 63.7859 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
216   X = 6 mm; Y = 48.9 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
217   X = 6 mm; Y = 49.5 mm; Amplitude = 0.00519531; Faza = -113.908 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
218   X = 6 mm; Y = 49.5 mm; Amplitude = 0.00486902; Faza = 68.1651 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
219   X = 6 mm; Y = 49.5 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
220   X = 6 mm; Y = 50.1 mm; Amplitude = 0.0046843; Faza = -108.758 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
221   X = 6 mm; Y = 50.1 mm; Amplitude = 0.00440295; Faza = 73.4619 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
222   X = 6 mm; Y = 50.1 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
223   X = 6 mm; Y = 50.7 mm; Amplitude = 0.00413474; Faza = -102.283 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
224   X = 6 mm; Y = 50.7 mm; Amplitude = 0.00389206; Faza = 80.1385 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
225   X = 6 mm; Y = 50.7 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
226   X = 6 mm; Y = 51.3 mm; Amplitude = 0.00358897; Faza = -93.7333 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
227   X = 6 mm; Y = 51.3 mm; Amplitude = 0.00337821; Faza = 88.8697 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
228   X = 6 mm; Y = 51.3 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
229   X = 6 mm; Y = 51.9 mm; Amplitude = 0.00310551; Faza = -82.1469 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
230   X = 6 mm; Y = 51.9 mm; Amplitude = 0.00291761; Faza = -259.5 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
231   X = 6 mm; Y = 51.9 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
232   X = 6 mm; Y = 52.5 mm; Amplitude = 0.00276293; Faza = -66.8555 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
233   X = 6 mm; Y = 52.5 mm; Amplitude = 0.00258135; Faza = -244.418 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
234   X = 6 mm; Y = 52.5 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
235   X = 6 mm; Y = 53.1 mm; Amplitude = 0.00264153; Faza = -48.8033 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
236   X = 6 mm; Y = 53.1 mm; Amplitude = 0.00243779; Faza = -226.779 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
237   X = 6 mm; Y = 53.1 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
238   X = 6 mm; Y = 53.7 mm; Amplitude = 0.00276856; Faza = -31.1135 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
239   X = 6 mm; Y = 53.7 mm; Amplitude = 0.00250797; Faza = -209.442 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
240   X = 6 mm; Y = 53.7 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
241   X = 6 mm; Y = 54.3 mm; Amplitude = 0.00308647; Faza = -16.6226 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
242   X = 6 mm; Y = 54.3 mm; Amplitude = 0.00274197; Faza = -195.125 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
243   X = 6 mm; Y = 54.3 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
244   X = 6 mm; Y = 54.9 mm; Amplitude = 0.00349703; Faza = -5.90081 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
245   X = 6 mm; Y = 54.9 mm; Amplitude = 0.00305662; Faza = -184.52 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
246   X = 6 mm; Y = 54.9 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
247   X = 6 mm; Y = 55.5 mm; Amplitude = 0.00391151; Faza = 1.7971 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
248   X = 6 mm; Y = 55.5 mm; Amplitude = 0.00337877; Faza = -177.005 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
249   X = 6 mm; Y = 55.5 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
250   X = 6 mm; Y = 56.1 mm; Amplitude = 0.0042641; Faza = 7.34118 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
251   X = 6 mm; Y = 56.1 mm; Amplitude = 0.0036569; Faza = -171.748 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
252   X = 6 mm; Y = 56.1 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
253   X = 6 mm; Y = 56.7 mm; Amplitude = 0.00450898; Faza = 11.3552 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
254   X = 6 mm; Y = 56.7 mm; Amplitude = 0.00385743; Faza = -168.11 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
255   X = 6 mm; Y = 56.7 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
256   X = 6 mm; Y = 57.3 mm; Amplitude = 0.00461701; Faza = 14.2147 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
257   X = 6 mm; Y = 57.3 mm; Amplitude = 0.00395992; Faza = -165.677 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
258   X = 6 mm; Y = 57.3 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
259   X = 6 mm; Y = 57.9 mm; Amplitude = 0.00457427; Faza = 16.1098 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
260   X = 6 mm; Y = 57.9 mm; Amplitude = 0.00395417; Faza = -164.203 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
261   X = 6 mm; Y = 57.9 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
262   X = 6 mm; Y = 58.5 mm; Amplitude = 0.0043816; Faza = 17.0911 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
263   X = 6 mm; Y = 58.5 mm; Amplitude = 0.00383891; Faza = -163.566 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
264   X = 6 mm; Y = 58.5 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
265   X = 6 mm; Y = 59.1 mm; Amplitude = 0.00405393; Faza = 17.0906 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
266   X = 6 mm; Y = 59.1 mm; Amplitude = 0.00362103; Faza = -163.749 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
267   X = 6 mm; Y = 59.1 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
268   X = 6 mm; Y = 59.7 mm; Amplitude = 0.00361897; Faza = 15.9169 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
269   X = 6 mm; Y = 59.7 mm; Amplitude = 0.00331491; Faza = -164.824 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
270   X = 6 mm; Y = 59.7 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
271   X = 6 mm; Y = 60.3 mm; Amplitude = 0.00311487; Faza = 13.2285 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
272   X = 6 mm; Y = 60.3 mm; Amplitude = 0.0029417; Faza = -166.973 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
273   X = 6 mm; Y = 60.3 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
274   X = 6 mm; Y = 60.9 mm; Amplitude = 0.00258718; Faza = 8.48724 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
275   X = 6 mm; Y = 60.9 mm; Amplitude = 0.0025282; Faza = -170.518 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
276   X = 6 mm; Y = 60.9 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
277   X = 6 mm; Y = 61.5 mm; Amplitude = 0.00208514; Faza = 0.928007 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
278   X = 6 mm; Y = 61.5 mm; Amplitude = 0.00210568; Faza = -175.963 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
279   X = 6 mm; Y = 61.5 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
280   X = 6 mm; Y = 62.1 mm; Amplitude = 0.00165651; Faza = -10.3121 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
281   X = 6 mm; Y = 62.1 mm; Amplitude = 0.00170839; Faza = -184.032 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
282   X = 6 mm; Y = 62.1 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
283   X = 6 mm; Y = 62.7 mm; Amplitude = 0.0013379; Faza = -25.5722 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
284   X = 6 mm; Y = 62.7 mm; Amplitude = 0.00137111; Faza = -195.534 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
285   X = 6 mm; Y = 62.7 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
286   X = 6 mm; Y = 63.3 mm; Amplitude = 0.0011375; Faza = -43.6007 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
287   X = 6 mm; Y = 63.3 mm; Amplitude = 0.00112229; Faza = -210.722 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
288   X = 6 mm; Y = 63.3 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
289   X = 6 mm; Y = 63.9 mm; Amplitude = 0.00102345; Faza = -61.7994 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
290   X = 6 mm; Y = 63.9 mm; Amplitude = 0.000969075; Faza = -228.174 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
291   X = 6 mm; Y = 63.9 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
292   X = 6 mm; Y = 64.5 mm; Amplitude = 0.000943661; Faza = -78.5421 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
293   X = 6 mm; Y = 64.5 mm; Amplitude = 0.00088408; Faza = -245.038 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
294   X = 6 mm; Y = 64.5 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
295   X = 6 mm; Y = 65.1 mm; Amplitude = 0.000859831; Faza = -94.281 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
296   X = 6 mm; Y = 65.1 mm; Amplitude = 0.000818241; Faza = -259.428 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
297   X = 6 mm; Y = 65.1 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
298   X = 6 mm; Y = 65.7 mm; Amplitude = 0.000760628; Faza = -110.731 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
299   X = 6 mm; Y = 65.7 mm; Amplitude = 0.000728995; Faza = 88.3974 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
300   X = 6 mm; Y = 65.7 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
301   X = 6 mm; Y = 66.3 mm; Amplitude = 0.000657303; Faza = -130.115 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
302   X = 6 mm; Y = 66.3 mm; Amplitude = 0.000593606; Faza = 76.5342 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
303   X = 6 mm; Y = 66.3 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
304   X = 6 mm; Y = 66.9 mm; Amplitude = 0.000577011; Faza = -154.526 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
305   X = 6 mm; Y = 66.9 mm; Amplitude = 0.000411344; Faza = 60.1333 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
306   X = 6 mm; Y = 66.9 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
307   X = 6 mm; Y = 67.5 mm; Amplitude = 0.000556067; Faza = 176.144 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
308   X = 6 mm; Y = 67.5 mm; Amplitude = 0.000235871; Faza = 18.9353 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
309   X = 6 mm; Y = 67.5 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
310   X = 6 mm; Y = 68.1 mm; Amplitude = 0.000623292; Faza = 146.554 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
311   X = 6 mm; Y = 68.1 mm; Amplitude = 0.000319849; Faza = -51.9123 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
312   X = 6 mm; Y = 68.1 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
313   X = 6 mm; Y = 68.7 mm; Amplitude = 0.000783738; Faza = 122.011 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
314   X = 6 mm; Y = 68.7 mm; Amplitude = 0.0006298; Faza = -77.7866 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
315   X = 6 mm; Y = 68.7 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
316   X = 6 mm; Y = 69.3 mm; Amplitude = 0.00102872; Faza = 103.805 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
317   X = 6 mm; Y = 69.3 mm; Amplitude = 0.00100243; Faza = -87.8049 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
318   X = 6 mm; Y = 69.3 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
319   X = 6 mm; Y = 69.9 mm; Amplitude = 0.00134754; Faza = 90.9304 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
320   X = 6 mm; Y = 69.9 mm; Amplitude = 0.00139882; Faza = -93.194 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
321   X = 6 mm; Y = 69.9 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
322   X = 6 mm; Y = 70.5 mm; Amplitude = 0.00172576; Faza = 82.1234 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
323   X = 6 mm; Y = 70.5 mm; Amplitude = 0.00179806; Faza = -96.5403 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
324   X = 6 mm; Y = 70.5 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
325   X = 6 mm; Y = 71.1 mm; Amplitude = 0.0021419; Faza = 76.3651 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
326   X = 6 mm; Y = 71.1 mm; Amplitude = 0.00218122; Faza = -98.7015 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
327   X = 6 mm; Y = 71.1 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
328   X = 6 mm; Y = 71.7 mm; Amplitude = 0.00256724; Faza = 72.8915 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
329   X = 6 mm; Y = 71.7 mm; Amplitude = 0.00252898; Faza = -100.037 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
330   X = 6 mm; Y = 71.7 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
331   X = 6 mm; Y = 72.3 mm; Amplitude = 0.00296794; Faza = 71.1438 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
332   X = 6 mm; Y = 72.3 mm; Amplitude = 0.00282165; Faza = -100.723 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
333   X = 6 mm; Y = 72.3 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
334   X = 6 mm; Y = 72.9 mm; Amplitude = 0.003308; Faza = 70.7202 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
335   X = 6 mm; Y = 72.9 mm; Amplitude = 0.00303989; Faza = -100.853 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
336   X = 6 mm; Y = 72.9 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
337   X = 6 mm; Y = 73.5 mm; Amplitude = 0.00355266; Faza = 71.3412 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
338   X = 6 mm; Y = 73.5 mm; Amplitude = 0.00316601; Faza = -100.474 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
339   X = 6 mm; Y = 73.5 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
340   X = 6 mm; Y = 74.1 mm; Amplitude = 0.0036718; Faza = 72.8272 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
341   X = 6 mm; Y = 74.1 mm; Amplitude = 0.00318563; Faza = -99.601 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
342   X = 6 mm; Y = 74.1 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
343   X = 6 mm; Y = 74.7 mm; Amplitude = 0.00364322; Faza = 75.0924 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
344   X = 6 mm; Y = 74.7 mm; Amplitude = 0.0030893; Faza = -98.2102 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
345   X = 6 mm; Y = 74.7 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
346   X = 6 mm; Y = 75.3 mm; Amplitude = 0.00345543; Faza = 78.1599 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
347   X = 6 mm; Y = 75.3 mm; Amplitude = 0.00287419; Faza = -96.2182 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
348   X = 6 mm; Y = 75.3 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
349   X = 6 mm; Y = 75.9 mm; Amplitude = 0.00311012; Faza = 82.2204 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
350   X = 6 mm; Y = 75.9 mm; Amplitude = 0.00254541; Faza = -93.4284 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
351   X = 6 mm; Y = 75.9 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
352   X = 6 mm; Y = 76.5 mm; Amplitude = 0.00262446; Faza = 87.7979 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
353   X = 6 mm; Y = 76.5 mm; Amplitude = 0.00211733; Faza = -89.3879 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
354   X = 6 mm; Y = 76.5 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
355   X = 6 mm; Y = 77.1 mm; Amplitude = 0.00203515; Faza = 96.2514 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
356   X = 6 mm; Y = 77.1 mm; Amplitude = 0.00161567; Faza = -82.955 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
357   X = 6 mm; Y = 77.1 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
358   X = 6 mm; Y = 77.7 mm; Amplitude = 0.00141363; Faza = 111.494 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
359   X = 6 mm; Y = 77.7 mm; Amplitude = 0.0010859; Faza = -70.6574 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
360   X = 6 mm; Y = 77.7 mm; Amplitude = 0; Faza = 0 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; sin(f)
361   X = 6 mm; Y = 78.3 mm; Amplitude = 0.000937924; Faza = 144.607 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; 1.
362   X = 6 mm; Y = 78.3 mm; Amplitude = 0.000643628; Faza = -39.8026 degree; FiMin = 90.001 degree; FiMax = 269.999 degree; cos(f)
